,aapl.q,amat.q,amd.q,amgn.q,amzn.q,atvi.q,bac.n,c.n,cmcsa.q,csco.q,csx.q,ctsh.q,ebay.q,exc.q,f.n,fast.q,fcx.n,fitb.q,ge.n,gild.q,hban.q,intc.q,jblu.q,jpm.n,ko.n,mdlz.q,mnst.q,mrvl.q,msft.q,mu.q,myl.q,nflx.q,nlok.q,ntap.q,nvda.q,odp.q,on.q,orcl.n,pep.q,pfe.n,qcom.q,rost.q,sbux.q,siri.q,t.n,txn.q,viac.q,wba.q,wfc.n,xom.n
aapl.q,0.0003990304656653096,0.0001862388043996801,0.00023968725565879802,0.00010318462559897808,0.00020132604726402225,0.0001629595643407031,0.0002194844214143906,0.0002284854586103859,0.00012932733166436109,0.0001613161169715405,0.00015314869551788616,0.00018371270981295154,0.00016160565886815464,8.584039267114068e-05,0.00017531806046872694,0.00014912244229851854,0.00024282788472492,0.00020912666844200887,0.0001470058636974686,0.00010941747043646917,0.00019437799442787988,0.00016437412360742425,0.00016935540949594943,0.00018746039921088077,6.565904332189841e-05,6.834481999236521e-05,0.00014638191284895217,0.00020646013094562104,0.00014884401203153565,0.00024099181099056528,0.0001258817598137643,0.00016536776045892725,0.00013318944236556272,0.00020123444472833495,0.00024389405161430097,0.0002393975903536054,0.00023370789012082147,0.0001498858514305069,6.065544032418216e-05,8.722904798558924e-05,0.00016860048456933128,0.00011659614482752952,0.00014197208789029492,0.00014252615939077442,9.541393828820255e-05,0.00015752910900826143,0.00017068308234103038,0.00010231619525365027,0.00017214421184545865,0.00011396117067486129
amat.q,0.0001862388043996801,0.00042463010207634,0.00032622864990819044,0.00011689451551149293,0.00019567041857182317,0.00016877933029465513,0.0002649536960535578,0.00026932721780427595,0.0001569387474322689,0.00018339454078845248,0.00018589193063073498,0.00020086803786336144,0.00018931846620718823,9.46724269995583e-05,0.0002010418332078215,0.00018086175787490548,0.0002793536563408129,0.0002629275543237006,0.00016438202987434383,0.00012421338328117343,0.00025462154399368887,0.00022171712300454206,0.0002086191388343142,0.00022764653174839303,7.129813790977554e-05,8.711854278561875e-05,0.00014097481303329044,0.0002770623331960538,0.00016866674648485276,0.0003673992229558436,0.00015631587286563773,0.00018103137885749294,0.00017427260878298184,0.00022455594764179482,0.0003287473217200202,0.00028855679516822026,0.00032943190639854377,0.00016774038365133115,6.921221992873707e-05,9.824057271490791e-05,0.00019938628273986,0.00013400453224785008,0.00016311762236655066,0.0001499021525115128,0.00010488092627174077,0.00023439026451532228,0.00021225755230168392,0.00011795052413381062,0.00021821628264398002,0.00012577413596333908
amd.q,0.00023968725565879802,0.00032622864990819044,0.0013176634851747022,0.00012336824346896217,0.000249942818921895,0.00022564573157028716,0.0003485142118061825,0.00037141100744447525,0.00020126288065460652,0.00022381783061362783,0.00024691143885563526,0.0002636088324019885,0.0002386069705405421,0.00011591002156397154,0.00030036470237517366,0.00022003128105687464,0.0003946540562740393,0.0003208884193625489,0.00021488917198467494,0.00015088789700895203,0.0003084725120357501,0.0002643011991926918,0.00027082634907178634,0.00027891931806009625,8.817953319649437e-05,0.00010447761976371574,0.00020560912845890876,0.0003915732662781093,0.00019903979124728398,0.0005324494874475771,0.0002140188231349829,0.00026368427562489365,0.0002213462688519468,0.0002907347897421004,0.0004756740096838811,0.0004033260313647062,0.00042583297160267517,0.00020717653833290763,7.769459881376468e-05,0.0001295387343489717,0.00024089414207758978,0.0001569078879052731,0.0002088518231113917,0.00027299271250735976,0.00012292520082056,0.00028263271083690854,0.00028688958622857536,0.00013604245215111674,0.0002679405647979985,0.00015579690648018867
amgn.q,0.00010318462559897808,0.00011689451551149293,0.00012336824346896217,0.00025756936399373665,0.00012147740619237944,0.00010298637140342896,0.00014011846867824465,0.00013803512406436995,0.00010985259779966596,0.0001008871644389044,0.00010043975568009424,0.000123090954198906,0.00010986136454360187,7.204727940406536e-05,0.0001044445576295652,0.00010636339421639221,0.00014253774099144594,0.00013365370982499296,9.709234144338359e-05,0.0001403152371790207,0.00011763735508505089,0.00010719537563659715,0.00012253105416009738,0.0001230637186400752,6.095117145925768e-05,6.816988354899448e-05,8.803383449134524e-05,0.00011246966002923214,0.00010717474336643971,0.00014406161928692257,0.00012131309213521884,0.00010363167884627073,9.813500859311547e-05,0.00011393730832957708,0.00013144079861710577,0.0001489719091559051,0.00013229734804882457,0.00010468408394863879,5.985035832074675e-05,0.00010053400654135606,0.00010998084189957526,8.524392251599821e-05,0.00010270527138829115,6.677058454344404e-05,7.45513290346893e-05,0.00010358609811451106,0.00012352455639847896,9.306533008453181e-05,0.00011761790551398913,0.0001010081795371233
amzn.q,0.00020132604726402225,0.00019567041857182317,0.000249942818921895,0.00012147740619237944,0.0005638786776209226,0.00018596260909701964,0.00023564658340054006,0.00024250341016367918,0.000151733626572648,0.00017571595749974562,0.0001708168262082647,0.0001993612748303168,0.00021532427388656875,9.025245522509338e-05,0.0001926157847723261,0.00017708903102241295,0.00023226125296847122,0.00021574797787205798,0.00015806102175591218,0.00013936838913216693,0.00020786468208310635,0.00017212480443249523,0.00019476357585280582,0.00020585437889489308,7.615001150044637e-05,8.641853790328266e-05,0.00016479432611547063,0.00020694203298198392,0.0001845271079516767,0.0002557868640461867,0.00012674183067377904,0.0002707349999797656,0.00016853915522233446,0.0002002568398804942,0.00025594785916531834,0.000264139163931872,0.00023834008549486756,0.00016153914798667184,7.400479521744249e-05,0.00010611516836445012,0.00018221712309145538,0.0001426049232944885,0.00018360246496152045,0.000161033100815443,0.00010441961423814519,0.00016385098483304264,0.00021218412423359192,0.00011859640531381627,0.00020254410657903185,0.00012606820078586153
atvi.q,0.0001629595643407031,0.00016877933029465513,0.00022564573157028716,0.00010298637140342896,0.00018596260909701964,0.00048284017266275053,0.00018527030603673468,0.0001874569040445165,0.00013724983115109387,0.00014731175081392133,0.00015375044367593233,0.00018656912688442618,0.00015408857809646708,9.696651018326797e-05,0.00015786731411866588,0.00015408900607678032,0.00022396283659030305,0.0001933107400998986,0.0001213711842703854,0.00012547657090355698,0.00015260449862835392,0.00014918431192258315,0.00016253448783914938,0.00016272888058510817,6.945113902203566e-05,8.145111017323852e-05,0.00012999484890751324,0.00016788942595525385,0.00015285562186545708,0.0002267465658501066,0.0001333807407491649,0.00016040892029454837,0.00014249377173440389,0.0001693290980039991,0.00023370001238382188,0.00022924607207814538,0.00021641775967011346,0.000147321719514629,6.994498497307915e-05,8.376098494456152e-05,0.00014908191059261492,0.00011065825412344407,0.00013927146472311538,0.00012452962799063547,9.041062742432664e-05,0.0001479891069341805,0.00016394704233665193,0.00010714069799039655,0.0001505791226944359,0.00011439814667072499
bac.n,0.0002194844214143906,0.0002649536960535578,0.0003485142118061825,0.00014011846867824465,0.00023564658340054006,0.00018527030603673468,0.0009395367441200647,0.0007955840072235943,0.00025042925525512377,0.00024169872487967494,0.00028494828752380867,0.00027195331051771464,0.00025069438946804975,0.0001338518005257417,0.0003464190458031735,0.00024877584485437896,0.0003758166488162378,0.0007554845581620464,0.00032827884227103275,0.00015051084194564343,0.0007804092784641021,0.0002335132147171259,0.0003606080003163689,0.0005872623942570151,9.793918571670165e-05,0.00012526652874125444,0.00017217060601906295,0.0002657396619621237,0.00020333809631934308,0.00040468898009290223,0.0002198020428469493,0.00020621432886768092,0.0002125738349008418,0.0002581722120196461,0.0003023863494089235,0.0004937183366372079,0.0003271731111427111,0.00021675598101383,9.064319330527898e-05,0.00017422893460301449,0.00020867606952578013,0.00018183399069221008,0.00024248438778144663,0.00021713286385536035,0.00016807078779806765,0.00020860408583607404,0.0003726225742802656,0.00016003448699426838,0.000638911409216597,0.00018745248925146888
c.n,0.0002284854586103859,0.00026932721780427595,0.00037141100744447525,0.00013803512406436995,0.00024250341016367918,0.0001874569040445165,0.0007955840072235943,0.001034143404170482,0.00025574687909583383,0.00024995877786938674,0.00028019732478559283,0.0002939603393663153,0.0002565881979692389,0.00014131631853046318,0.00035807680409074297,0.00022815175768552866,0.00039231220939543157,0.0006686104980686231,0.00032652552738862353,0.0001604133469235957,0.0006877848888763425,0.0002372850793787829,0.00035406204246733383,0.0005617241250809331,0.00010444051439155786,0.0001290160229707772,0.00018724468474865804,0.000281739862741282,0.00020899763106666035,0.0004405262436807584,0.00023211896989462505,0.00021185532442332574,0.00022730754910607476,0.0002651787719489504,0.0003146056606848845,0.0004947349880160459,0.0003467091835423953,0.0002203713041118972,9.847962288701838e-05,0.00017017654411904772,0.0002237515770944595,0.00018658539597032564,0.00024451545587492944,0.00027317852521902426,0.0001728469559532973,0.00022014430259927287,0.00038335793711720043,0.000158246484692274,0.0005854100314257492,0.00019288761718160396
cmcsa.q,0.00012932733166436109,0.0001569387474322689,0.00020126288065460652,0.00010985259779966596,0.000151733626572648,0.00013724983115109387,0.00025042925525512377,0.00025574687909583383,0.00030199393067687597,0.00015048209702802083,0.00016127900446037108,0.00016376490853428817,0.00014738697795012147,0.00010432010160079427,0.00017563518618670288,0.00015231839752805236,0.00021729909687226418,0.0002632002500428089,0.0001535657419436696,0.0001111183685803213,0.00023880539987973604,0.0001469322361501097,0.00018916173847983975,0.00021419949523758834,8.034650783363289e-05,9.088143440353123e-05,0.00013063995198457642,0.00016237276052496802,0.00013300976716289898,0.00021393060266996223,0.00013873176665918949,0.00011960205353281097,0.000147248825307288,0.00016481186784316298,0.0001965587973349096,0.0002465505653662565,0.00019050839354202027,0.0001377939785197162,7.685637017546368e-05,0.00010752225687853725,0.00014616729594913805,0.0001245225668479023,0.0001408946003851972,0.0001404804041918115,0.00012172492314319374,0.00013492514083541984,0.0002225099495512971,0.00011807723089018653,0.00021378622143413987,0.00013113385906744223
csco.q,0.0001613161169715405,0.00018339454078845248,0.00022381783061362783,0.0001008871644389044,0.00017571595749974562,0.00014731175081392133,0.00024169872487967494,0.00024995877786938674,0.00015048209702802083,0.00030574206586691166,0.00016117109917830052,0.00018573684772492494,0.00015430857952107116,9.640680383223694e-05,0.00018024200080932125,0.00016046334282848968,0.00023471511278456484,0.0002225042670799515,0.00015037212827541524,0.00010783563000158565,0.00021517421837983654,0.00017826930954321937,0.00017793371708303696,0.00020177623716513776,7.633132185826081e-05,8.407918597723352e-05,0.00013174826684670532,0.00020631362309088834,0.000162358494140254,0.0002480865110570139,0.0001239660554006016,0.00014719863504257562,0.00015834684832779404,0.0002020405693442785,0.0002450212664044793,0.00024557777509541425,0.00022738884287449662,0.0001654619638565268,7.500798562266647e-05,0.00010335166105077677,0.00015950209413497938,0.00012007248199275258,0.0001489112429464058,0.00014592134069343974,0.00010567340159084534,0.00016225229606356764,0.0001918345553712544,0.00010776323244267095,0.00018950614914439156,0.0001281804221542693
